boxingGlove, 16, 16
buttons\dPadDown, 14, 14
bulletGlow, 1, 5
bulletHoles, 32, 32
buildingFrame, 128, 128
bulletHoles2, 32, 32
buttons\dPadRight, 14, 14
buttons\genesis\a, 14, 14
burn, 32, 32
buttons\keyboard\arrows, 15, 14
buttons\genericButton, 14, 14
buttons\dPadUp, 14, 14
buttons\keyboard\alt, 15, 14
buttons\genesis\start, 14, 14
buttons\dPadLeft, 14, 14
buttons\keyboard\back, 16, 14
buttons\keyboard\downKey, 14, 14
buttons\genesis\b, 14, 14
buttons\keyboard\control, 17, 14
buttons, 70, 14
buttons\keyboard\f1, 15, 14
buttons\keyboard\enter, 15, 14
buttons\keyboard\escape, 15, 14
buttons\keyboard\f2, 15, 14
buttons\keyboard\f10, 15, 14
buttons\keyboard\f11, 15, 14
buttons\keyboard\f3, 15, 14
buttons\keyboard\f12, 15, 14
buttons\keyboard\f4, 15, 14
buttons\keyboard\f5, 15, 14
buttons\keyboard\f7, 15, 14
buttons\keyboard\f8, 15, 14
buttons\keyboard\home, 17, 14
buttons\keyboard\f9, 15, 14
buttons\keyboard\insert, 15, 14
buttons\keyboard\f6, 15, 14
buttons\keyboard\key, 14, 14
buttons\keyboard\leftKey, 14, 14
buttons\keyboard\pgdown, 16, 14
buttons\mouse, 36, 15
buttons\mousewheel, 12, 18
buttons\keyboard\rightKey, 14, 14
buttons\lb, 14, 14
buttons\keyboard\shift, 18, 14
buttons\keyboard\pgup, 16, 14
buttons\keyboard\space, 15, 14
buttons\oButton, 14, 14
buttons\keyboard\tilde, 15, 14
buttons\playstation\blank, 14, 14
buttons\keyboard\upKey, 14, 14
buttons\keyboard\tab, 15, 14
buttons\playstation\leftBumper, 14, 14
buttons\keyboard\wasd, 15, 14
buttons\playstation\rightBumper, 14, 14
buttons\ps4\circle, 14, 14
buttons\ps4\dPad, 14, 14
buttons\playstation\selectButton, 14, 14
buttons\playstation\startButton, 14, 14
buttons\ps4\dPadDown, 14, 14
buttons\playstation\square, 14, 14
buttons\ps4\dPadLeft, 14, 14
buttons\playstation\rightTrigger, 14, 14
buttons\playstation\triangle, 14, 14
buttons\playstation\x, 14, 14
buttons\playstation\leftTrigger, 14, 14
buttons\playstation\o, 14, 14
buttons\ps4\dPadRight, 14, 14
buttons\rb, 14, 14
buttons\ps4\leftBumper, 14, 14
buttons\ps4\dPadUp, 14, 14
buttons\ps4\leftTrigger, 14, 14
buttons\ps4\rightStick, 14, 14
buttons\ps4\rightTrigger, 14, 14
buttons\SNES\a, 14, 14
buttons\ps4\rightBumper, 14, 14
buttons\ps4\startButton, 14, 14
buttons\SNES\aFami, 14, 14
buttons\SNES\b, 14, 14
buttons\ps4\leftStick, 14, 14
buttons\ps4\triangle, 14, 14
buttons\SNES\bFami, 14, 14
buttons\ps4\x, 14, 14
buttons\SNES\leftTrigger, 14, 14
buttons\SNES\x, 14, 14
buttons\startButton, 14, 14
buttons\SNES\startButton, 14, 14
buttons\SNES\selectButton, 14, 14
buttons\styleBubble, 27, 22
buttons\ps4\square, 14, 14
buttons\SNES\xFami, 14, 14
buttons\styleTray, 64, 161
buttons\switch\dual\aButton, 14, 14
buttons\SNES\blankSNESPink, 14, 14
buttons\SNES\yFami, 14, 14
buttons\switch\dual\dPad, 14, 14
buttons\switch\dual\dPadRight, 14, 14
buttons\SNES\y, 14, 14
buttons\SNES\rightTrigger, 14, 14
buttons\switch\dual\dPadLeft, 14, 14
buttons\switch\dual\dPadUp, 14, 14
buttons\switch\dual\dPadDown, 14, 14
buttons\switch\dual\leftStick, 14, 14
buttons\switch\dual\leftTrigger, 14, 14
buttons\switch\dual\leftBumper, 14, 14
buttons\switch\genericStick, 14, 14
buttons\switch\dual\rightStick, 14, 14
buttons\switch\dual\oButton, 14, 14
buttons\switch\dual\rightTrigger, 14, 14
buttons\switch\dual\rightBumper, 14, 14
buttons\switch\joyconButtonDown, 14, 14
buttons\switch\dual\selectButton, 14, 14
buttons\switch\dual\startButton, 14, 14
buttons\switch\joyconButtonRight, 14, 14
buttons\switch\left\leftBumper, 14, 14
buttons\switch\left\aButton, 14, 14
buttons\switch\dual\yButton, 14, 14
buttons\switch\joyconButtonUp, 14, 14
buttons\switch\left\leftStick, 14, 14
buttons\switch\joyconButtonLeft, 14, 14
buttons\switch\left\rightBumper, 14, 14
buttons\switch\left\leftTrigger, 14, 14
buttons\switch\left\oButton, 14, 14
buttons\switch\pro\aButton, 14, 14
buttons\switch\pro\dPad, 14, 14
buttons\switch\pro\dPadDown, 14, 14
buttons\switch\dual\uButton, 14, 14
buttons\switch\left\rightTrigger, 14, 14
buttons\switch\pro\dPadLeft, 14, 14
bottomWedge, 212, 16
buttons\switch\left\uButton, 14, 14
buttons\keyboard\end, 15, 14
buttons\switch\left\yButton, 14, 14
buttons\switch\left\startButton, 14, 14
buttons\switch\pro\dPadRight, 14, 14
buttons\genesis\c, 14, 14
buttons\switch\pro\leftBumper, 14, 14
buttons\keyboard\delete, 15, 14
buttons\switch\pro\dPadUp, 14, 14
buttons\switch\pro\leftStick, 14, 14
buttons\switch\right\leftBumper, 14, 14
buttons\switch\pro\rightBumper, 14, 14
buttons\switch\right\leftStick, 14, 14
buttons\switch\pro\leftTrigger, 14, 14
buttons\switch\pro\oButton, 14, 14
buttons\switch\right\leftTrigger, 14, 14
buttons\switch\right\aButton, 14, 14
buttons\switch\pro\rightStick, 14, 14
buttons\switch\pro\rightTrigger, 14, 14
buttons\switch\pro\startButton, 14, 14
buttons\switch\sl, 14, 14
buttons\switch\right\oButton, 14, 14
buttons\switch\right\rightTrigger, 14, 14
buttons\switch\right\startButton, 14, 14
buttons\switch\pro\uButton, 14, 14
buttons\switch\pro\selectButton, 14, 14
buttons\switch\sr, 14, 14
buttons\switch\right\uButton, 14, 14
buttons\uButton, 14, 14
buttons\wheelDown, 10, 17
buttons\wheelUp, 10, 17
buttons\xbox\aButton, 14, 14
buttons\switch\pro\yButton, 14, 14
buttons\xbox\dPad, 14, 14
buttons\xbox\dPadDown, 14, 14
buttons\switch\right\rightBumper, 14, 14
buttons\xbox\dPadLeft, 14, 14
buttons\xbox\dPadRight, 14, 14
buttons\xbox\dPadUp, 14, 14
buttons\switch\right\yButton, 14, 14
buttons\xbox\leftStick, 14, 14
buttons\xbox\leftBumper, 14, 14
buttons\yButton, 14, 14
buttons\xbox\leftTrigger, 14, 14
buttons\xbox\oButton, 14, 14
calanderDays, 81, 163
buttons\xbox\rightBumper, 14, 14
buttons\xbox\rightStick, 14, 14
cameraIcon, 16, 16
cameraMover, 16, 16
buttons\xbox\rightTrigger, 14, 14
buttons\xbox\selectButton, 14, 14
buttons\xbox\startButton, 14, 14
camping, 92, 15
camping_loader, 6, 4
camping_ball, 8, 9
buttons\xbox\uButton, 14, 14
campingMelted, 23, 15
buttons\xbox\yButton, 14, 14
candleBall, 32, 16
cannon, 72, 18
cannonMount, 10, 10
campduck, 96, 64
cantPlace, 16, 16
cannonTimer, 72, 18
cantPlaceLarge, 64, 64
castleTorch, 48, 48
castleBackground, 256, 128
cape, 12, 16
caveTileset, 128, 128
castle, 128, 128
chain, 16, 16
challenge\goal, 16, 15
chainBullet, 8, 8
chaingun, 168, 56
chaingunTip, 168, 56
chaingunTip2, 168, 56
chainLink, 7, 5
challenge\reticule, 16, 16
challenge\star, 16, 15
challenge\goody, 64, 80
challenge\suitcase, 16, 15
chainStretchEnd, 8, 8
chainsaw, 116, 52
challengeIcon, 16, 16
challengeTrophyIcons, 96, 16
channels, 24, 6
challengeTrophy, 360, 58
chanceIcon, 10, 9
chatBust, 28, 13
chatBust_m, 28, 13
cheapTape, 59, 52
checkIcon, 8, 8
chestPlate, 16, 16
chainStretch, 8, 8
civ\desertTileset, 128, 128
civ\grass, 48, 48
chestPlateAnim, 192, 192
chestPlateAnimOver, 192, 192
chestPlatePickup, 16, 16
civ\grassTileset, 128, 128
civ\snowTileset, 128, 128
cityBackground, 128, 128
chokeCollar, 8, 8
cityTree, 128, 128
clipcopy, 14, 14
cloudDown, 8, 8
colorStar, 9, 7
coilGun, 128, 96
cityWedge, 17, 17
cityTileset, 128, 128
cloudIcon, 16, 16
colorableLiquid, 64, 16
cloudTileset, 128, 128
colorStarLarge, 17, 16
citywall, 350, 768
combatShotgun, 32, 32
combatShotgunLoader, 16, 16
concrete, 128, 128
connectionArrow, 168, 26
combatShotgunAmmo, 48, 32
circle, 81, 31
connectionWall, 13, 13
connectionX, 13, 13
consoleFlash, 48, 48
consoleHighlight, 20, 19
contextArrowRight, 8, 7
controlledDuck, 192, 192
cookedDuck, 16, 16
controlledDuck_m, 192, 192
cork, 6, 5
controlWave, 16, 16
corkGun, 26, 10
corpseLeft, 16, 16
corpseRight, 16, 16
ctf\spawner, 32, 4
ctf\present, 36, 17
corptron, 256, 38
cowboyPistol, 22, 11
crate, 64, 16
countdown, 96, 32
crowdDuck, 14, 20
crownIcon, 13, 10
customIcon, 7, 8
cursors, 64, 64
dandiSpring, 7, 9
dartchain_burned, 38, 18
deathcrate, 64, 57
dartchain, 114, 36
corptronConsoleText, 82, 3
deathFrame, 120, 77
dartgun, 64, 32
dartchain_tip, 114, 36
dangerSign, 64, 32
deleteFlag, 16, 8
clickPuff, 64, 16
dart, 32, 16
default_mappack_icon, 8, 8
defaultMod, 320, 180
demoBlaster, 38, 19
demoCrate, 20, 20
dc5, 512, 512
desk, 76, 12
die, 16, 16
directionSign, 64, 32
demoPro, 114, 66
dieHover, 18, 18
discordIcon, 32, 32
dizzyStar, 9, 7
distanceSign, 20, 13
devTray, 332, 80
domeBleachers, 100, 40
devScan, 664, 158
domeSmall, 51, 38
drifts, 64, 17
dropShadow, 16, 16
dome, 103, 146
doorFrame, 10, 35
doorFucked, 128, 128
domePillar, 27, 63
drumset\drumStick, 3, 12
drumset\crashCymbal, 10, 10
drumset\largeTom, 11, 11
drumset\lowTomStand, 9, 5
drumset\mediumTom, 11, 11
drumset\smallTom, 10, 10
drumset\hatStand, 7, 18
donutTileset, 128, 128
drumset\snareDrum, 11, 11
drumsIcon, 16, 16
drumset\snareStand, 7, 11
doorSpinner, 100, 100
drumset\crashStand, 7, 21
drumz, 128, 128
drumset\hat, 11, 11
duck, 192, 192
duck_m, 192, 192
door, 128, 128
duckFont, 128, 64
drumset\bassDrum, 16, 16
duckChannelBackground, 300, 150
duckArms, 96, 144
duckArms_m, 96, 144
duckGameTitle, 182, 91
duckGameTitle2, 182, 91
duckCoin, 36, 18
duckGameTitle - Copy, 182, 91
duckGameTitleOutline - Copy, 210, 107
drumset\highTomStand, 9, 6
duckGameTitleOutline, 218, 109
duckSpawn, 128, 32
Editor\canMirror, 16, 16
easyLeft, 32, 32
Editor\checkBox, 32, 16
duckGameTitleOutlineBlack, 218, 109
easyRight, 32, 32
easySign, 64, 32
drinks, 32, 16
editingRoom, 63, 30
eCrate, 16, 16
Editor\dieBlock, 32, 16
eCrateLight, 8, 8
Editor\dieBlockRed, 32, 16
Editor\isMirrored, 16, 16
duckGame_japanese, 128, 128
Editor\editBlock, 32, 16
Editor\moveBlock, 32, 16
editorButtons, 64, 128
editorCurrency, 7, 8
Editor\openAir, 16, 16
Editor\numBlock, 32, 16
Editor\radioButton, 32, 16
eight_player, 16, 16
Editor\multiplayerBlock, 16, 16
Editor\regenBlock, 32, 16
elevator, 96, 37
energyScimiBlade, 13, 33
Editor\resizeBlock, 32, 16
energyScimiHilt, 13, 33
Editor\sideArrow, 32, 32
Editor\sideArrowHover, 34, 17
Editor\singleplayerBlock, 16, 16
energyScimiBladeTrail, 13, 33
equipper, 16, 16
energyTex, 128, 128
exBox, 60, 10
exclamationMoji, 9, 8
explode, 384, 64
explosion, 256, 192
fancyBanner, 23, 70
explosiveBarrel, 14, 17
feather, 48, 4
extinguisher, 16, 16
feather_m, 48, 4
fieldNoiseRain, 300, 48
fieldNoiseSnow, 300, 48
flags\full_aaeggs, 32, 32
fieldWall, 300, 48
fileBrowserScrollArrow, 16, 8
filterOff, 16, 16
flags\full_aabooks, 32, 32
fingerPositions_m, 96, 48
fingerPositions, 96, 48
filterOn, 16, 16
fireCracker, 8, 8
fireCrackers, 48, 48
flags\full_aasax, 32, 32
flags\full_aagraves, 32, 32
flags\full_aarocks, 32, 32
flags\full_zzasexual, 32, 32
flags\full_zzbisexual, 32, 32
fieldNoise, 300, 48
flags\full_aatv, 32, 32
flags\full_zzlesbian, 32, 32
flags\flags, 976, 738
flags\full_zznonbinary, 32, 32
flags\full_zzpansexual, 32, 32
flameBurst, 80, 84
flamethrower, 32, 32
flamethrowerCan, 32, 32
flags\full_zztrans, 32, 32
flareGun, 16, 16
flavourLines, 32, 32
flimsyDoorDamaged, 128, 128
flimsyDoor, 128, 128
flower, 16, 16
flower_burned, 16, 16
flags\full_zzpride, 32, 32
fluid, 64, 16
furni\bar\bar, 24, 24
furni\bar\CCTV, 13, 44
funBeamer, 16, 16
funBeam, 64, 32
furni\bar\dartboard, 27, 42
funeralPic, 17, 19
furni\bar\leftRoomFG_bar, 141, 87
frozen, 64, 64
furni\bar\cuerack, 19, 36
furni\bar\pooltable, 40, 16
furni\bar\leftRoomBG_bar, 141, 87
foregroundNature, 128, 128
furni\bathroom\bigsink, 24, 26
furni, 284, 480
furni\bathroom\cleaner, 32, 14
furni\bathroom\papertowel, 34, 17
furni\bar\neon, 28, 48
furni\bathroom\tiles, 24, 24
furni\bar\round table, 31, 64
furni\bathroom\leftRoomFG_tiles, 141, 87
furni\bar\stool, 60, 16
furni\bathroom\leftRoomBG_tiled, 141, 87
furni\bigScren, 41, 28
furni\bathroom\showercombo, 36, 120
furni\biosFont, 128, 128
furni\characters\numbers, 16, 160
furni\characters\letters_blue, 21, 416
furni\cheap\barrel_old, 15, 16
furni\bathroom\urinal, 26, 28
furni\bathroom\toilet, 17, 60
furni\characters\letters_red, 21, 416
furni\characters\letters_purp, 21, 416
furni\cheap\diploma, 46, 17
furni\characters\letters_white, 21, 416
furni\cheap\famous_elf, 25, 30
furni\cheap\broken window, 24, 88
furni\cheap\fusebox, 23, 40
furni\cheap\garbo, 27, 32
furni\cheap\hobofire, 32, 18
furni\cheap\leftRoomBG_oldwood, 141, 87
furni\default\biosBG, 141, 87
furni\cheap\inflatablepalmtree, 24, 50
furni\bar\pooltablelighting, 33, 80
furni\cheap\shabby, 24, 24
furni\default\biosFG, 141, 87
furni\cheap\matress, 40, 36
furni\cheap\lampNoShade, 9, 22
furni\default\cantPlaceLarge, 32, 32
furni\cheap\leftRoomFG_oldwood, 141, 87
furni\cheap\tire, 16, 16
furni\eggpedestal, 64, 28
furni\everyday\armchair, 28, 57
furni\everyday\basic, 24, 24
furni\everyday\big boy table, 36, 64
furni\everyday\cabinets, 31, 40
furni\everyday\chair, 18, 80
furni\everyday\clockradio, 18, 12
furni\everyday\boombox, 21, 16
furni\eggpillow, 16, 18
furni\everyday\coathanger, 21, 14
furni\everyday\broom, 52, 25
furni\everyday\couches, 35, 57
furni\everyday\default, 24, 24
furni\everyday\countercabinet, 31, 46
furni\everyday\fatLamp, 52, 18
furni\everyday\footstool, 60, 11
furni\everyday\Floor Lamp, 60, 35
furni\everyday\fridge, 24, 72
furni\everyday\heightchart, 216, 34
furni\everyday\kitchenphone, 48, 21
furni\everyday\framewindow, 96, 24
furni\everyday\lamp, 13, 64
furni\everyday\leftRoomBG_basic, 141, 87
furni\everyday\kettle, 14, 13
furni\everyday\leftRoomFG_basic, 141, 87
furni\everyday\oven, 48, 30
furni\default\default, 24, 24
furni\default\proximityDefenseTurret, 25, 16
furni\everyday\strawbroom, 44, 25
furni\default\flagpole, 16, 33
furni\default\voodooVincent, 19, 21
furni\everyday\tiny table, 23, 64
furni\everyday\vacuum, 24, 120
furni\everyday\wastebasket, 14, 11
furni\everyday\shelf, 16, 42
furni\everyday\TV, 24, 80
furni\everyday\vent, 18, 26
furni\everyday\wallclock, 32, 16
furni\everyday\window, 44, 22
furni\fancy\fancychair, 18, 80
furni\fancy\fancyFlagpole, 16, 33
furni\fancy\fancy, 24, 24
furni\fancy\bust, 39, 24
furni\everyday\umbrella, 18, 24
furni\fancy\chandelier, 34, 26
furni\fancy\fancytable, 32, 42
furni\fancy\globe, 15, 18
furni\fancy\grandfatherclock, 88, 44
furni\fancy\leftRoomBG_opulent, 141, 87
furni\fancy\mirror, 17, 16
furni\fancy\leftRoomFG_opulent, 141, 87
furni\fancy\platter, 21, 11
furni\fancy\sink, 17, 14
furni\fancy\moneybag, 16, 16
furni\flowers\achimenes, 45, 22
furni\fancy\tub, 40, 24
furni\fancy\portrait, 27, 112
furni\fancy\vanity, 69, 31
furni\flowers\agapanthus, 64, 22
furni\fancy\velvetrope, 30, 48
furni\flowers\arum lily, 64, 22
furni\flowers\braided ficus, 40, 29
furni\flowers\astilbe, 64, 22
furni\flowers\gloxinia, 64, 22
furni\flagpole, 32, 32
furni\fancy\fancylamp, 15, 22
furni\flowers\greenhouse, 24, 24
furni\flowers\leftRoomBG_greenhouse, 141, 87
furni\flowers\lachenalia, 34, 22
furni\flowers\narcissus, 64, 22
furni\flowers\leftRoomFG_greenhouse, 141, 87
furni\flowers\pelargonium, 64, 22
furni\flowers\orchid, 64, 22
furni\flowers\statice, 64, 22
furni\flowers\spiderplant, 19, 22
furni\freezer\airconditioner, 52, 18
furni\flowers\sunflower, 54, 30
furni\flowers\vallota, 64, 22
furni\fontIcon, 24, 24
furni\flowers\trachelium, 64, 22
furni\flowers\verbascum, 64, 22
furni\freezer\ancestor, 24, 32
furni\flowers\wateringcan, 16, 8
furni\flowers\tulip, 64, 22
furni\flowers\Yucca Branch, 64, 32
furni\freezer\icecream, 48, 18
furni\freezer\IceCreamPail, 160, 30
furni\freezer\freezer, 24, 24
furni\freezer\icicle, 24, 16
furni\handstandFont, 128, 128
furni\freezer\FrozenVeggie, 80, 28
furni\freezer\leftRoomBG_freezer, 141, 87
furni\leftRoomFG_oldstone, 141, 87
furni\italFont, 128, 128
furni\leftRoomBG_oldstone, 141, 87
furni\freezer\leftRoomFG_freezer, 141, 87
furni\momento\easel, 21, 30
furni\momento\duckdoll, 52, 16
furni\momento\eggpedestal, 64, 28
furni\momento\giftbasket, 22, 19
furni\freezer\IceTable, 30, 16
furni\momento\giftwine, 11, 20
furni\freezer\snowduck, 24, 21
furni\music\acousticG, 56, 30
furni\momento\jukebox, 32, 38
furni\momento\junk, 28, 23
furni\momento\littlemanpic, 16, 16
furni\music\amp, 18, 16
furni\music\cello, 15, 36
furni\freezer\snowfa, 35, 21
furni\momento\YOYO, 39, 32
furni\momento\plate, 16, 16
furni\music\electricG, 56, 30
furni\music\electricG2, 64, 31
furni\music\electricG3, 56, 30
furni\office\coffeemaker, 13, 15
furni\office\coffeevendingmachine, 24, 34
furni\music\grand, 99, 34
furni\music\harp, 90, 32
furni\music\leftRoomBG_music, 141, 87
furni\office\deskphone, 17, 48
furni\music\mic stand, 19, 22
furni\music\leftRoomFG_music, 141, 87
furni\music\organ, 132, 36
furni\office\drinkvendingmachine, 78, 34
furni\office\filecabinet, 54, 33
furni\music\snaredrum, 17, 80
furni\music\music, 24, 24
furni\music\upright, 35, 46
furni\office\leftRoomFG_office, 141, 87
furni\ornateFont, 128, 128
furni\office\leftRoomBG_office, 141, 87
furni\outdoor\backboard, 31, 27
furni\office\locker, 64, 34
furni\outdoor\bbq, 32, 22
furni\office\office, 24, 24
furni\outdoor\condiment, 8, 15
furni\outdoor\bike, 37, 125
furni\office\printer, 26, 29
furni\office\officechair, 64, 18
furni\outdoor\cooler, 26, 42
furni\outdoor\drinkcooler, 63, 19
furni\outdoor\flamingo, 22, 25
furni\outdoor\lantern, 11, 60
furni\outdoor\leftRoomFG_tree, 141, 87
furni\outdoor\forest, 24, 24
furni\outdoor\lawnchair, 51, 17
furni\outdoor\leftRoomBG_tree, 141, 87
furni\outdoor\gasstove, 44, 13
furni\outdoor\naturalFlagpole, 8, 33
furni\outdoor\poptent, 176, 28
furni\outdoor\pan, 23, 15
furni\scren, 28, 28
furni\ship\anchor, 25, 28
furni\outdoor\pot, 19, 20
furni\quietFont, 128, 128
furni\outdoor\soda_pop, 40, 17
furni\ship\barrel, 48, 34
furni\ship\captainswheel, 50, 26
furni\outdoor\yellowcondiment, 8, 15
furni\outdoor\stopsign, 19, 19
furni\ship\jollyroger, 33, 22
furni\stone\brokepillar, 60, 16
furni\stone, 24, 24
furni\outdoor\redcondiment, 8, 15
furni\ship\leftRoomBG_ship, 141, 87
furni\stone\candelabra, 17, 72
furni\ship\life_preserver, 34, 17
furni\ship\periscope, 23, 36
furni\ship\porthole, 36, 18
furni\ship\ship, 24, 24
furni\ship\seaweed, 21, 18
furni\stone\candlestick, 60, 15
furni\stone\casket, 57, 30
furni\stone\mausoleum, 33, 60
furni\stone\stone bench, 34, 48
furni\stone\stone, 24, 24
furni\stone\graves, 45, 30
furni\stone\vase, 60, 14
furni\stone\stoneFlagpole, 8, 33
furni\stone\leftRoomBG_oldstone, 141, 87
furni\ship\leftRoomFG_ship, 141, 87
furni\widefont, 128, 128
furniFrame, 59, 52
furniHov, 61, 54
furniFill, 59, 52
furniTag, 56, 51
furni\stone\leftRoomFG_oldstone, 141, 87
g18, 28, 16
furni\stone\pillar table, 60, 16
gameServerOnline, 16, 16
gameServerWireless, 16, 16
gachaEgg, 132, 576
gas, 64, 16
gasSplash, 64, 16
genderIcons, 32, 16
gereCape, 32, 32
gettingXP, 252, 120
glitchMap3, 32, 32
ghost, 128, 96
gold, 64, 64
goneFishin, 32, 32
gradientLine, 16, 16
goodBook, 34, 12
grappleArm, 16, 16
grappleWire, 16, 16
ginormoScore, 320, 200
grave, 15, 16
grenade, 32, 16
glitchMap2, 256, 256
glitchMap, 256, 256
grenadecannon, 104, 72
grenadeLauncher, 32, 32
grenadePin, 128, 16
greyBlock, 16, 16
grid, 32, 32
gunSpawner, 28, 30
gym, 320, 180
hangingCityLight, 16, 10
halo, 32, 32
happyFace, 80, 16
happyman, 60, 60
hardLeft, 32, 32
hardSign, 64, 32
hats\agents, 32, 32
harpoonGun, 32, 32
hats\angrys, 32, 32
harpoon, 16, 16
hardRight, 32, 32
hatConsoleBase, 14, 11
hats\astrobud, 64, 32
hats\ballhead, 64, 32
hats\b52s, 32, 32
